problem with field [14,11] -> [425,335]/(896, 476), color is ((211, 215, 207))
problem with field [0,0] -> [5,5]/(896, 476), color is ((119, 124, 121))
problem with field [1,0] -> [35,5]/(896, 476), color is ((119, 124, 121))
problem with field [2,0] -> [65,5]/(896, 476), color is ((119, 124, 121))
problem with field [3,0] -> [95,5]/(896, 476), color is ((119, 124, 121))
problem with field [4,0] -> [125,5]/(896, 476), color is ((119, 124, 121))
problem with field [5,0] -> [155,5]/(896, 476), color is ((119, 124, 121))
problem with field [6,0] -> [185,5]/(896, 476), color is ((119, 124, 121))
problem with field [7,0] -> [215,5]/(896, 476), color is ((119, 124, 121))
problem with field [8,0] -> [245,5]/(896, 476), color is ((119, 124, 121))
problem with field [9,0] -> [275,5]/(896, 476), color is ((119, 124, 121))
problem with field [10,0] -> [305,5]/(896, 476), color is ((119, 124, 121))
problem with field [11,0] -> [335,5]/(896, 476), color is ((119, 124, 121))
problem with field [12,0] -> [365,5]/(896, 476), color is ((119, 124, 121))
problem with field [13,0] -> [395,5]/(896, 476), color is ((119, 124, 121))
problem with field [14,0] -> [425,5]/(896, 476), color is ((119, 124, 121))
problem with field [15,0] -> [455,5]/(896, 476), color is ((119, 124, 121))
problem with field [16,0] -> [485,5]/(896, 476), color is ((119, 124, 121))
problem with field [17,0] -> [515,5]/(896, 476), color is ((119, 124, 121))
problem with field [18,0] -> [545,5]/(896, 476), color is ((119, 124, 121))
problem with field [19,0] -> [575,5]/(896, 476), color is ((119, 124, 121))
problem with field [20,0] -> [605,5]/(896, 476), color is ((119, 124, 121))
problem with field [21,0] -> [635,5]/(896, 476), color is ((119, 124, 121))
problem with field [22,0] -> [665,5]/(896, 476), color is ((119, 124, 121))
problem with field [23,0] -> [695,5]/(896, 476), color is ((119, 124, 121))
problem with field [24,0] -> [725,5]/(896, 476), color is ((119, 124, 121))
problem with field [25,0] -> [755,5]/(896, 476), color is ((119, 124, 121))
problem with field [26,0] -> [785,5]/(896, 476), color is ((119, 124, 121))
problem with field [27,0] -> [815,5]/(896, 476), color is ((119, 124, 121))
problem with field [28,0] -> [845,5]/(896, 476), color is ((119, 124, 121))
problem with field [29,0] -> [875,5]/(896, 476), color is ((119, 124, 121))
problem with field [0,1] -> [5,35]/(896, 476), color is ((119, 124, 121))
problem with field [1,1] -> [35,35]/(896, 476), color is ((119, 124, 121))
problem with field [2,1] -> [65,35]/(896, 476), color is ((119, 124, 121))
problem with field [3,1] -> [95,35]/(896, 476), color is ((119, 124, 121))
problem with field [4,1] -> [125,35]/(896, 476), color is ((119, 124, 121))
problem with field [5,1] -> [155,35]/(896, 476), color is ((119, 124, 121))
problem with field [6,1] -> [185,35]/(896, 476), color is ((119, 124, 121))
problem with field [7,1] -> [215,35]/(896, 476), color is ((119, 124, 121))
problem with field [8,1] -> [245,35]/(896, 476), color is ((119, 124, 121))
problem with field [9,1] -> [275,35]/(896, 476), color is ((119, 124, 121))
problem with field [10,1] -> [305,35]/(896, 476), color is ((119, 124, 121))
problem with field [11,1] -> [335,35]/(896, 476), color is ((119, 124, 121))
problem with field [12,1] -> [365,35]/(896, 476), color is ((119, 124, 121))
problem with field [13,1] -> [395,35]/(896, 476), color is ((119, 124, 121))
problem with field [14,1] -> [425,35]/(896, 476), color is ((119, 124, 121))
problem with field [15,1] -> [455,35]/(896, 476), color is ((119, 124, 121))
problem with field [16,1] -> [485,35]/(896, 476), color is ((119, 124, 121))
problem with field [17,1] -> [515,35]/(896, 476), color is ((119, 124, 121))
problem with field [18,1] -> [545,35]/(896, 476), color is ((119, 124, 121))
problem with field [19,1] -> [575,35]/(896, 476), color is ((119, 124, 121))
problem with field [20,1] -> [605,35]/(896, 476), color is ((119, 124, 121))
problem with field [21,1] -> [635,35]/(896, 476), color is ((119, 124, 121))
problem with field [22,1] -> [665,35]/(896, 476), color is ((119, 124, 121))
problem with field [23,1] -> [695,35]/(896, 476), color is ((119, 124, 121))
problem with field [24,1] -> [725,35]/(896, 476), color is ((119, 124, 121))
problem with field [25,1] -> [755,35]/(896, 476), color is ((119, 124, 121))
problem with field [26,1] -> [785,35]/(896, 476), color is ((119, 124, 121))
problem with field [27,1] -> [815,35]/(896, 476), color is ((119, 124, 121))
problem with field [28,1] -> [845,35]/(896, 476), color is ((119, 124, 121))
problem with field [29,1] -> [875,35]/(896, 476), color is ((119, 124, 121))
problem with field [0,2] -> [5,65]/(896, 476), color is ((119, 124, 121))
problem with field [1,2] -> [35,65]/(896, 476), color is ((119, 124, 121))
problem with field [2,2] -> [65,65]/(896, 476), color is ((119, 124, 121))
problem with field [3,2] -> [95,65]/(896, 476), color is ((119, 124, 121))
problem with field [4,2] -> [125,65]/(896, 476), color is ((119, 124, 121))
problem with field [5,2] -> [155,65]/(896, 476), color is ((119, 124, 121))
problem with field [6,2] -> [185,65]/(896, 476), color is ((119, 124, 121))
problem with field [7,2] -> [215,65]/(896, 476), color is ((119, 124, 121))
problem with field [8,2] -> [245,65]/(896, 476), color is ((119, 124, 121))
problem with field [9,2] -> [275,65]/(896, 476), color is ((119, 124, 121))
problem with field [10,2] -> [305,65]/(896, 476), color is ((119, 124, 121))
problem with field [11,2] -> [335,65]/(896, 476), color is ((119, 124, 121))
problem with field [12,2] -> [365,65]/(896, 476), color is ((119, 124, 121))
problem with field [13,2] -> [395,65]/(896, 476), color is ((119, 124, 121))
problem with field [14,2] -> [425,65]/(896, 476), color is ((119, 124, 121))
problem with field [15,2] -> [455,65]/(896, 476), color is ((119, 124, 121))
problem with field [16,2] -> [485,65]/(896, 476), color is ((119, 124, 121))
problem with field [17,2] -> [515,65]/(896, 476), color is ((119, 124, 121))
problem with field [18,2] -> [545,65]/(896, 476), color is ((119, 124, 121))
problem with field [19,2] -> [575,65]/(896, 476), color is ((119, 124, 121))
problem with field [20,2] -> [605,65]/(896, 476), color is ((119, 124, 121))
problem with field [21,2] -> [635,65]/(896, 476), color is ((119, 124, 121))
problem with field [22,2] -> [665,65]/(896, 476), color is ((119, 124, 121))
problem with field [23,2] -> [695,65]/(896, 476), color is ((119, 124, 121))
problem with field [24,2] -> [725,65]/(896, 476), color is ((119, 124, 121))
problem with field [25,2] -> [755,65]/(896, 476), color is ((119, 124, 121))
problem with field [26,2] -> [785,65]/(896, 476), color is ((119, 124, 121))
problem with field [27,2] -> [815,65]/(896, 476), color is ((119, 124, 121))
problem with field [28,2] -> [845,65]/(896, 476), color is ((119, 124, 121))
problem with field [29,2] -> [875,65]/(896, 476), color is ((119, 124, 121))
problem with field [0,3] -> [5,95]/(896, 476), color is ((119, 124, 121))
problem with field [1,3] -> [35,95]/(896, 476), color is ((119, 124, 121))
problem with field [2,3] -> [65,95]/(896, 476), color is ((119, 124, 121))
problem with field [3,3] -> [95,95]/(896, 476), color is ((119, 124, 121))
problem with field [4,3] -> [125,95]/(896, 476), color is ((119, 124, 121))
problem with field [5,3] -> [155,95]/(896, 476), color is ((119, 124, 121))
problem with field [6,3] -> [185,95]/(896, 476), color is ((119, 124, 121))
problem with field [7,3] -> [215,95]/(896, 476), color is ((119, 124, 121))
problem with field [8,3] -> [245,95]/(896, 476), color is ((119, 124, 121))
problem with field [9,3] -> [275,95]/(896, 476), color is ((119, 124, 121))
problem with field [10,3] -> [305,95]/(896, 476), color is ((119, 124, 121))
problem with field [11,3] -> [335,95]/(896, 476), color is ((119, 124, 121))
problem with field [12,3] -> [365,95]/(896, 476), color is ((119, 124, 121))
problem with field [13,3] -> [395,95]/(896, 476), color is ((119, 124, 121))
problem with field [14,3] -> [425,95]/(896, 476), color is ((119, 124, 121))
problem with field [15,3] -> [455,95]/(896, 476), color is ((119, 124, 121))
